ID_REF,t_statistic,p_value,q_value,significant
212863_x_at,0.8225830301404178,0.4126093244969786,0.5312401674331875,False
212864_at,-2.5321082826161017,0.01281825827011212,0.028313763782009154,True
212865_s_at,-2.5815818264565125,0.011214137161567909,0.025217945137876445,True
212866_at,-1.9871377395520102,0.04951167054828756,0.0925327983584242,False
212867_at,2.139798682272607,0.034687306221982496,0.06790873700091687,False
212868_x_at,2.377984857747359,0.01921605396869502,0.04056762961482057,True
212869_x_at,-5.988921392508026,2.993061542069294e-08,1.9610229444848597e-07,True
212870_at,-2.2652972394762303,0.025547130068808384,0.051921442842325534,False
212871_at,3.8168404355388894,0.00022882181462640234,0.0007434873863108957,True
212872_s_at,7.611179465511212,1.2307256615297683e-11,1.4510190431676097e-10,True
212873_at,-2.656152852616705,0.009136377768795553,0.021011367189906763,True
212874_at,-1.685935669995263,0.09477766094737124,0.16146258554206983,False
212875_s_at,-0.056322135181441794,0.9551922220142355,0.9708678112538162,False
212876_at,5.631760399483458,1.5025712824849433e-07,8.705615155385333e-07,True
212877_at,3.169190855894457,0.0020030109764796393,0.005365199373590071,True
212878_s_at,-4.795988115278939,5.367665195306311e-06,2.327903533417877e-05,True
212879_x_at,1.2755922148043592,0.20491456120852827,0.3047403703094732,False
212880_at,-6.3661865288071,5.195687495073629e-09,3.894231565850175e-08,True
212881_at,0.4129021472417473,0.6805202517364118,0.7732017524700421,False
212882_at,-3.809236508673314,0.0002350869113866137,0.00076250970108121,True
212883_at,0.3405790402065034,0.7341009823964434,0.8143967037110399,False
212884_x_at,-0.03987466527402272,0.9682687688537017,0.9792997901401159,False
212885_at,3.5921517986274525,0.0005007316271246296,0.0015228337446728704,True
212886_at,-10.639349814412718,2.2497684530296318e-18,7.630379062231246e-17,True
212887_at,4.111006429682008,7.837559057887394e-05,0.0002781846583098197,True
212888_at,-4.14528697670046,6.894955101309373e-05,0.00024740786557564696,True
212889_x_at,-1.1952474096169776,0.23468298184604724,0.34034760068177483,False
212890_at,2.5762444504546935,0.011378042583563962,0.025545281903229803,True
212891_s_at,4.952071261673948,2.8183013068281844e-06,1.295383828796461e-05,True
212892_at,2.096702698244185,0.03842216883162476,0.07424865042711773,False
212893_at,4.0644449329234185,9.317486907883263e-05,0.00032603888311614755,True
212894_at,3.7459615552540093,0.0002939352556507021,0.0009371525685598217,True
212895_s_at,-7.011366601056887,2.367254864724524e-10,2.248488497470442e-09,True
212896_at,2.265589749780195,0.025528568519132884,0.05188845136475764,False
212897_at,-0.3875471191725108,0.6991356890206397,0.7875683226564493,False
212898_at,5.5223447111186195,2.439983117165968e-07,1.3660840150705846e-06,True
212899_at,-2.0732976959948024,0.04059220741358529,0.07793521952411864,False
212900_at,6.067235084474948,2.0887409313462404e-08,1.4065703890356082e-07,True
212901_s_at,-1.1910693253987705,0.2363119000710222,0.34206431527105285,False
212902_at,9.650819815910308,3.7270128901109534e-16,8.901289199393609e-15,True
212904_at,0.185474567406751,0.853214640835148,0.9025813351645542,False
212905_at,-0.685038394569065,0.49482918591945846,0.610434520835038,False
212906_at,0.42763988234986716,0.6697890941001506,0.764088403560393,False
212907_at,3.53321519761092,0.0006116999240472617,0.0018295985781939775,True
212908_at,0.6878454821879336,0.4930668113741748,0.6091034348514657,False
212909_at,7.090998298745337,1.6054707693665564e-10,1.5711332961701791e-09,True
212910_at,-2.664959623987703,0.008915542367044414,0.02054872057973218,True
212911_at,1.112442724497481,0.2684883083757592,0.37890750983703325,False
212912_at,-9.461289753196384,9.91932603309142e-16,2.230396992889769e-14,True
212913_at,2.33078992593853,0.021675400135719218,0.04502591043388005,True
212914_at,-13.253066092756313,3.7493742577192416e-24,2.8809416063709607e-22,True
212915_at,-7.446920073783165,2.7848286576834425e-11,3.1104930816621627e-10,True
212916_at,4.142617212548578,6.964273782376277e-05,0.00024965397794834396,True
212917_x_at,-1.5072904372654075,0.13473908248086539,0.21522515949255366,False
212918_at,-0.6256059199288773,0.5329308963740549,0.645817879263817,False
212919_at,-2.693265142970083,0.00823812475919842,0.019155810707421308,True
212920_at,2.1696805365281615,0.03228607251361458,0.06377732921298612,False
212921_at,-3.8388526501047813,0.00021156896347403773,0.0006920715227674666,True
212922_s_at,1.5943573067148844,0.11386182049504091,0.18798125109957745,False
212923_s_at,-8.541783340732927,1.1181869182067007e-13,1.8334480572774035e-12,True
212924_s_at,0.6660874981933517,0.5068159643116182,0.6218821659006492,False
212925_at,3.850083566936759,0.000203250882920019,0.0006680984546550794,True
212926_at,-0.8617493430429867,0.39078922654108794,0.5099529359929177,False
212927_at,-4.14368924841952,6.936359099977041e-05,0.0002487333276871394,True
212928_at,-2.3284487261940603,0.02180433250324686,0.0452557694830337,True
212929_s_at,-8.937740617333684,1.4711948408493376e-14,2.7433167061628274e-13,True
212930_at,-3.6169536936825026,0.0004599757076187197,0.0014108243211105203,True
212931_at,2.0193144254703737,0.046002512211896975,0.08687067623878815,False
